# instruction bytes -> MASM text, verified byte-identical by tools/verify_encodings.py.
# Regenerate with: py tools/verify_encodings.py --table data/encodings.tsv
cc	int 3
8d83e8000000	lea eax, [ebx + 0E8h]
8d8384000000	lea eax, [ebx + 84h]
8db3f4000000	lea esi, [ebx + 0F4h]
8d4b54	lea ecx, [ebx + 54h]
8dbbe8000000	lea edi, [ebx + 0E8h]
89b3a4000000	mov dword ptr [ebx + 0A4h], esi
89b3a0000000	mov dword ptr [ebx + 0A0h], esi
89b39c000000	mov dword ptr [ebx + 9Ch], esi
89b3b0000000	mov dword ptr [ebx + 0B0h], esi
89b3ac000000	mov dword ptr [ebx + 0ACh], esi
89b3d8000000	mov dword ptr [ebx + 0D8h], esi
89b3d4000000	mov dword ptr [ebx + 0D4h], esi
89b3d0000000	mov dword ptr [ebx + 0D0h], esi
8d8b00010000	lea ecx, [ebx + 100h]
89b3e4000000	mov dword ptr [ebx + 0E4h], esi
89b3e0000000	mov dword ptr [ebx + 0E0h], esi
89b3dc000000	mov dword ptr [ebx + 0DCh], esi
8937	mov dword ptr [edi], esi
89b3fc000000	mov dword ptr [ebx + 0FCh], esi
89b3f8000000	mov dword ptr [ebx + 0F8h], esi
89b3f4000000	mov dword ptr [ebx + 0F4h], esi
8d8b20010000	lea ecx, [ebx + 120h]
89b31c010000	mov dword ptr [ebx + 11Ch], esi
8d8b50010000	lea ecx, [ebx + 150h]
8d8b80010000	lea ecx, [ebx + 180h]
d981e8000000	fld dword ptr [ecx + 0E8h]
d95978	fstp dword ptr [ecx + 78h]
d981ec000000	fld dword ptr [ecx + 0ECh]
d9597c	fstp dword ptr [ecx + 7Ch]
d981f0000000	fld dword ptr [ecx + 0F0h]
d99980000000	fstp dword ptr [ecx + 80h]
d88100010000	fadd dword ptr [ecx + 100h]
d99900010000	fstp dword ptr [ecx + 100h]
d88104010000	fadd dword ptr [ecx + 104h]
d99904010000	fstp dword ptr [ecx + 104h]
d88108010000	fadd dword ptr [ecx + 108h]
d99908010000	fstp dword ptr [ecx + 108h]
8981f0000000	mov dword ptr [ecx + 0F0h], eax
d881e8000000	fadd dword ptr [ecx + 0E8h]
d999e8000000	fstp dword ptr [ecx + 0E8h]
d999ec000000	fstp dword ptr [ecx + 0ECh]
d999f0000000	fstp dword ptr [ecx + 0F0h]
d981f8000000	fld dword ptr [ecx + 0F8h]
d981fc000000	fld dword ptr [ecx + 0FCh]
d981f4000000	fld dword ptr [ecx + 0F4h]
d881f4000000	fadd dword ptr [ecx + 0F4h]
d999f4000000	fstp dword ptr [ecx + 0F4h]
d999f8000000	fstp dword ptr [ecx + 0F8h]
d999fc000000	fstp dword ptr [ecx + 0FCh]
89961c010000	mov dword ptr [esi + 11Ch], edx
8896cc000000	mov byte ptr [esi + 0CCh], dl
d88620010000	fadd dword ptr [esi + 120h]
d99e20010000	fstp dword ptr [esi + 120h]
d88624010000	fadd dword ptr [esi + 124h]
d99e24010000	fstp dword ptr [esi + 124h]
d88628010000	fadd dword ptr [esi + 128h]
d99e28010000	fstp dword ptr [esi + 128h]
d9862c010000	fld dword ptr [esi + 12Ch]
d8400c	fadd dword ptr [eax + 0Ch]
d99e2c010000	fstp dword ptr [esi + 12Ch]
d88630010000	fadd dword ptr [esi + 130h]
d88634010000	fadd dword ptr [esi + 134h]
d88638010000	fadd dword ptr [esi + 138h]
d99e38010000	fstp dword ptr [esi + 138h]
d8863c010000	fadd dword ptr [esi + 13Ch]
d99e3c010000	fstp dword ptr [esi + 13Ch]
d88640010000	fadd dword ptr [esi + 140h]
d99e40010000	fstp dword ptr [esi + 140h]
d88644010000	fadd dword ptr [esi + 144h]
d99e44010000	fstp dword ptr [esi + 144h]
d88648010000	fadd dword ptr [esi + 148h]
d99e48010000	fstp dword ptr [esi + 148h]
d8864c010000	fadd dword ptr [esi + 14Ch]
d99e4c010000	fstp dword ptr [esi + 14Ch]
d9416c	fld dword ptr [ecx + 6Ch]
d94160	fld dword ptr [ecx + 60h]
8d4354	lea eax, [ebx + 54h]
c78564ffffff00000000	mov dword ptr [ebp - 9Ch], 0
d88994000000	fmul dword ptr [ecx + 94h]
d88990000000	fmul dword ptr [ecx + 90h]
d95004	fst dword ptr [eax + 4]
d88184000000	fadd dword ptr [ecx + 84h]
d88188000000	fadd dword ptr [ecx + 88h]
d88f0c010000	fmul dword ptr [edi + 10Ch]
d88f10010000	fmul dword ptr [edi + 110h]
d88f14010000	fmul dword ptr [edi + 114h]
d94168	fld dword ptr [ecx + 68h]
d94174	fld dword ptr [ecx + 74h]
d88998000000	fmul dword ptr [ecx + 98h]
d88e14010000	fmul dword ptr [esi + 114h]
d88e10010000	fmul dword ptr [esi + 110h]
d88e0c010000	fmul dword ptr [esi + 10Ch]
d8870c010000	fadd dword ptr [edi + 10Ch]
d88710010000	fadd dword ptr [edi + 110h]
d88714010000	fadd dword ptr [edi + 114h]
d8890c010000	fmul dword ptr [ecx + 10Ch]
d88910010000	fmul dword ptr [ecx + 110h]
d88914010000	fmul dword ptr [ecx + 114h]
d88984000000	fmul dword ptr [ecx + 84h]
d88988000000	fmul dword ptr [ecx + 88h]
d8898c000000	fmul dword ptr [ecx + 8Ch]
d88894000000	fmul dword ptr [eax + 94h]
d88898000000	fmul dword ptr [eax + 98h]
d88890000000	fmul dword ptr [eax + 90h]
d95104	fst dword ptr [ecx + 4]
d8889c000000	fmul dword ptr [eax + 9Ch]
d888a0000000	fmul dword ptr [eax + 0A0h]
d888a4000000	fmul dword ptr [eax + 0A4h]
d8484c	fmul dword ptr [eax + 4Ch]
d98098000000	fld dword ptr [eax + 98h]
d84850	fmul dword ptr [eax + 50h]
d8485c	fmul dword ptr [eax + 5Ch]
d84858	fmul dword ptr [eax + 58h]
d84854	fmul dword ptr [eax + 54h]
d84868	fmul dword ptr [eax + 68h]
d84864	fmul dword ptr [eax + 64h]
d84860	fmul dword ptr [eax + 60h]
d84870	fmul dword ptr [eax + 70h]
c745f40000003f	mov dword ptr [ebp - 0Ch], 3F000000h
c745f80000003f	mov dword ptr [ebp - 8], 3F000000h
c745fc0000003f	mov dword ptr [ebp - 4], 3F000000h
c745f4000000bf	mov dword ptr [ebp - 0Ch], 0BF000000h
c745f8000000bf	mov dword ptr [ebp - 8], 0BF000000h
c745fc000000bf	mov dword ptr [ebp - 4], 0BF000000h
c745f4000080bf	mov dword ptr [ebp - 0Ch], 0BF800000h
c745f8000080bf	mov dword ptr [ebp - 8], 0BF800000h
c745f8f304353f	mov dword ptr [ebp - 8], 3F3504F3h
c745fcf304353f	mov dword ptr [ebp - 4], 3F3504F3h
c745f4f30435bf	mov dword ptr [ebp - 0Ch], 0BF3504F3h
c745f8f30435bf	mov dword ptr [ebp - 8], 0BF3504F3h
c745f4f304353f	mov dword ptr [ebp - 0Ch], 3F3504F3h
c745fcf30435bf	mov dword ptr [ebp - 4], 0BF3504F3h
668945fc	mov word ptr [ebp - 4], ax
66894dfe	mov word ptr [ebp - 2], cx
8dbbd0000000	lea edi, [ebx + 0D0h]
be06000000	mov esi, 6
c743540c000000	mov dword ptr [ebx + 54h], 0Ch
c7434c08000000	mov dword ptr [ebx + 4Ch], 8
898310030000	mov dword ptr [ebx + 310h], eax
8b8310030000	mov eax, dword ptr [ebx + 310h]
890c30	mov dword ptr [eax + esi], ecx
83ee04	sub esi, 4
8d7b70	lea edi, [ebx + 70h]
8dbb28010000	lea edi, [ebx + 128h]
8d4fa8	lea ecx, [edi - 58h]
668911	mov word ptr [ecx], dx
c647b400	mov byte ptr [edi - 4Ch], 0
83fe60	cmp esi, 60h
8d9ed0000000	lea ebx, [esi + 0D0h]
bf06000000	mov edi, 6
c746540c000000	mov dword ptr [esi + 54h], 0Ch
c7464c08000000	mov dword ptr [esi + 4Ch], 8
898610030000	mov dword ptr [esi + 310h], eax
bf14000000	mov edi, 14h
8b8610030000	mov eax, dword ptr [esi + 310h]
890c38	mov dword ptr [eax + edi], ecx
83ef04	sub edi, 4
83e90c	sub ecx, 0Ch
8d9edc000000	lea ebx, [esi + 0DCh]
668b47fc	mov ax, word ptr [edi - 4]
668b4ff8	mov cx, word ptr [edi - 8]
c60300	mov byte ptr [ebx], 0
83c360	add ebx, 60h
8b8110030000	mov eax, dword ptr [ecx + 310h]
8d86cc000000	lea eax, [esi + 0CCh]
8dbeb0020000	lea edi, [esi + 2B0h]
bb06000000	mov ebx, 6
83ef60	sub edi, 60h
d958ec	fstp dword ptr [eax - 14h]
d958f0	fstp dword ptr [eax - 10h]
d958f4	fstp dword ptr [eax - 0Ch]
d8610c	fsub dword ptr [ecx + 0Ch]
d95914	fstp dword ptr [ecx + 14h]
d84118	fadd dword ptr [ecx + 18h]
d8411c	fadd dword ptr [ecx + 1Ch]
d84120	fadd dword ptr [ecx + 20h]
d84114	fadd dword ptr [ecx + 14h]
81ec70010000	sub esp, 170h
b8ffff7fff	mov eax, 0FF7FFFFFh
d95b0c	fstp dword ptr [ebx + 0Ch]
d95b10	fstp dword ptr [ebx + 10h]
d95b14	fstp dword ptr [ebx + 14h]
d85b18	fcomp dword ptr [ebx + 18h]
d85b0c	fcomp dword ptr [ebx + 0Ch]
d85b1c	fcomp dword ptr [ebx + 1Ch]
d85b10	fcomp dword ptr [ebx + 10h]
895310	mov dword ptr [ebx + 10h], edx
d85320	fcom dword ptr [ebx + 20h]
d95320	fst dword ptr [ebx + 20h]
d85314	fcom dword ptr [ebx + 14h]
890c90	mov dword ptr [eax + edx*4], ecx
b904000000	mov ecx, 4
d86730	fsub dword ptr [edi + 30h]
8a4724	mov al, byte ptr [edi + 24h]
d955bc	fst dword ptr [ebp - 44h]
d845b0	fadd dword ptr [ebp - 50h]
ba02000000	mov edx, 2
ba04000000	mov edx, 4
ba05000000	mov edx, 5
ba07000000	mov edx, 7
ba0b000000	mov edx, 0Bh
ba06000000	mov edx, 6
d84730	fadd dword ptr [edi + 30h]
8d5a0c	lea ebx, [edx + 0Ch]
8d4218	lea eax, [edx + 18h]
b924000000	mov ecx, 24h
d94730	fld dword ptr [edi + 30h]
c745e003000000	mov dword ptr [ebp - 20h], 3
ff45dc	inc dword ptr [ebp - 24h]
83f824	cmp eax, 24h
8d4b0c	lea ecx, [ebx + 0Ch]
d86328	fsub dword ptr [ebx + 28h]
d8632c	fsub dword ptr [ebx + 2Ch]
898d20ffffff	mov dword ptr [ebp - 0E0h], ecx
898534ffffff	mov dword ptr [ebp - 0CCh], eax
898d38ffffff	mov dword ptr [ebp - 0C8h], ecx
803c1903	cmp byte ptr [ecx + ebx], 3
8b1b	mov ebx, dword ptr [ebx]
d88c9d0cffffff	fmul dword ptr [ebp + ebx*4 - 0F4h]
d88c9d08ffffff	fmul dword ptr [ebp + ebx*4 - 0F8h]
8d9c9d04ffffff	lea ebx, [ebp + ebx*4 - 0FCh]
8d848504ffffff	lea eax, [ebp + eax*4 - 0FCh]
895d90	mov dword ptr [ebp - 70h], ebx
f6d0	not al
c1eb1f	shr ebx, 1Fh
32c3	xor al, bl
895d28	mov dword ptr [ebp + 28h], ebx
895d24	mov dword ptr [ebp + 24h], ebx
8b5d28	mov ebx, dword ptr [ebp + 28h]
d955b8	fst dword ptr [ebp - 48h]
8b5d88	mov ebx, dword ptr [ebp - 78h]
8b5d90	mov ebx, dword ptr [ebp - 70h]
8d9558ffffff	lea edx, [ebp - 0A8h]
895714	mov dword ptr [edi + 14h], edx
895720	mov dword ptr [edi + 20h], edx
894f28	mov dword ptr [edi + 28h], ecx
89572c	mov dword ptr [edi + 2Ch], edx
89473c	mov dword ptr [edi + 3Ch], eax
894f40	mov dword ptr [edi + 40h], ecx
83fb0c	cmp ebx, 0Ch
8957fc	mov dword ptr [edi - 4], edx
8d5928	lea ebx, [ecx + 28h]
ff450c	inc dword ptr [ebp + 0Ch]
8995e8feffff	mov dword ptr [ebp - 118h], edx
898de4feffff	mov dword ptr [ebp - 11Ch], ecx
8985ecfeffff	mov dword ptr [ebp - 114h], eax
803c0103	cmp byte ptr [ecx + eax], 3
8b42fc	mov eax, dword ptr [edx - 4]
8d9495e4feffff	lea edx, [ebp + edx*4 - 11Ch]
8d8485e4feffff	lea eax, [ebp + eax*4 - 11Ch]
c1ea1f	shr edx, 1Fh
895528	mov dword ptr [ebp + 28h], edx
8b8574ffffff	mov eax, dword ptr [ebp - 8Ch]
8d4820	lea ecx, [eax + 20h]
895040	mov dword ptr [eax + 40h], edx
c740fcffffffff	mov dword ptr [eax - 4], 0FFFFFFFFh
c7451003000000	mov dword ptr [ebp + 10h], 3
be04000000	mov esi, 4
80cb04	or bl, 4
8819	mov byte ptr [ecx], bl
800804	or byte ptr [eax], 4
dee1	fsubrp st(1), st
d840f4	fadd dword ptr [eax - 0Ch]
c70101000000	mov dword ptr [ecx], 1
c701ffffffff	mov dword ptr [ecx], 0FFFFFFFFh
c702ffffffff	mov dword ptr [edx], 0FFFFFFFFh
83f924	cmp ecx, 24h
83feff	cmp esi, -1
8d0473	lea eax, [ebx + esi*2]
83fe02	cmp esi, 2
83fe24	cmp esi, 24h
8d0c58	lea ecx, [eax + ebx*2]
d87518	fdiv dword ptr [ebp + 18h]
81ece0020000	sub esp, 2E0h
8b7528	mov esi, dword ptr [ebp + 28h]
b201	mov dl, 1
32d2	xor dl, dl
807d1c00	cmp byte ptr [ebp + 1Ch], 0
0faff9	imul edi, ecx
0f9dc1	setge cl
32ca	xor cl, dl
888d50ffffff	mov byte ptr [ebp - 0B0h], cl
888d4cffffff	mov byte ptr [ebp - 0B4h], cl
0f9dc0	setge al
888544ffffff	mov byte ptr [ebp - 0BCh], al
8b854cffffff	mov eax, dword ptr [ebp - 0B4h]
8b9544ffffff	mov edx, dword ptr [ebp - 0BCh]
8b8550ffffff	mov eax, dword ptr [ebp - 0B0h]
0faf45e8	imul eax, dword ptr [ebp - 18h]
d85a04	fcomp dword ptr [edx + 4]
d85a08	fcomp dword ptr [edx + 8]
83f904	cmp ecx, 4
83f905	cmp ecx, 5
d88574ffffff	fadd dword ptr [ebp - 8Ch]
d88578ffffff	fadd dword ptr [ebp - 88h]
894b14	mov dword ptr [ebx + 14h], ecx
8b4d34	mov ecx, dword ptr [ebp + 34h]
3b7de0	cmp edi, dword ptr [ebp - 20h]
83f830	cmp eax, 30h
d99c05d4feffff	fstp dword ptr [ebp + eax - 12Ch]
d99c05d8feffff	fstp dword ptr [ebp + eax - 128h]
d99c05dcfeffff	fstp dword ptr [ebp + eax - 124h]
d98508ffffff	fld dword ptr [ebp - 0F8h]
c745c401000000	mov dword ptr [ebp - 3Ch], 1
c745c402000000	mov dword ptr [ebp - 3Ch], 2
c745c403000000	mov dword ptr [ebp - 3Ch], 3
c745c404000000	mov dword ptr [ebp - 3Ch], 4
c745c405000000	mov dword ptr [ebp - 3Ch], 5
898540ffffff	mov dword ptr [ebp - 0C0h], eax
8d943d40feffff	lea edx, [ebp + edi - 1C0h]
8d843dc0fdffff	lea eax, [ebp + edi - 240h]
8d8c85e0feffff	lea ecx, [ebp + eax*4 - 120h]
b804000000	mov eax, 4
83ff20	cmp edi, 20h
8d8d20fdffff	lea ecx, [ebp - 2E0h]
8d95c0fdffff	lea edx, [ebp - 240h]
8d8540feffff	lea eax, [ebp - 1C0h]
8d8de8fdffff	lea ecx, [ebp - 218h]
8d9520fdffff	lea edx, [ebp - 2E0h]
83ff04	cmp edi, 4
8d0c8f	lea ecx, [edi + ecx*4]
d9848de0feffff	fld dword ptr [ebp + ecx*4 - 120h]
8d848de0feffff	lea eax, [ebp + ecx*4 - 120h]
8b8c8de4feffff	mov ecx, dword ptr [ebp + ecx*4 - 11Ch]
894d84	mov dword ptr [ebp - 7Ch], ecx
c6452b01	mov byte ptr [ebp + 2Bh], 1
c6452b00	mov byte ptr [ebp + 2Bh], 0
d98485e0feffff	fld dword ptr [ebp + eax*4 - 120h]
8b8c85e4feffff	mov ecx, dword ptr [ebp + eax*4 - 11Ch]
8d8485e0feffff	lea eax, [ebp + eax*4 - 120h]
8b8540ffffff	mov eax, dword ptr [ebp - 0C0h]
2b4208	sub eax, dword ptr [edx + 8]
8b4580	mov eax, dword ptr [ebp - 80h]
8b4588	mov eax, dword ptr [ebp - 78h]
8a452b	mov al, byte ptr [ebp + 2Bh]
d99cbda0feffff	fstp dword ptr [ebp + edi*4 - 160h]
8941f8	mov dword ptr [ecx - 8], eax
8941fc	mov dword ptr [ecx - 4], eax
d841f8	fadd dword ptr [ecx - 8]
8984bd60feffff	mov dword ptr [ebp + edi*4 - 1A0h], eax
d841fc	fadd dword ptr [ecx - 4]
8984bd80feffff	mov dword ptr [ebp + edi*4 - 180h], eax
8984bdc0feffff	mov dword ptr [ebp + edi*4 - 140h], eax
898cbdc0feffff	mov dword ptr [ebp + edi*4 - 140h], ecx
898cbd80feffff	mov dword ptr [ebp + edi*4 - 180h], ecx
8b8de0fdffff	mov ecx, dword ptr [ebp - 220h]
8b95e4fdffff	mov edx, dword ptr [ebp - 21Ch]
8b85e8fdffff	mov eax, dword ptr [ebp - 218h]
d985a0feffff	fld dword ptr [ebp - 160h]
8d8de4fdffff	lea ecx, [ebp - 21Ch]
8d4324	lea eax, [ebx + 24h]
8bbc95a0feffff	mov edi, dword ptr [ebp + edx*4 - 160h]
8bbc9580feffff	mov edi, dword ptr [ebp + edx*4 - 180h]
8978e0	mov dword ptr [eax - 20h], edi
8bbc95c0feffff	mov edi, dword ptr [ebp + edx*4 - 140h]
8978e4	mov dword ptr [eax - 1Ch], edi
8bbc9560feffff	mov edi, dword ptr [ebp + edx*4 - 1A0h]
8978dc	mov dword ptr [eax - 24h], edi
8b7d34	mov edi, dword ptr [ebp + 34h]
89781c	mov dword ptr [eax + 1Ch], edi
bf0b000000	mov edi, 0Bh
bf09000000	mov edi, 9
bf0a000000	mov edi, 0Ah
d84d94	fmul dword ptr [ebp - 6Ch]
895370	mov dword ptr [ebx + 70h], edx
894b68	mov dword ptr [ebx + 68h], ecx
89536c	mov dword ptr [ebx + 6Ch], edx
89531c	mov dword ptr [ebx + 1Ch], edx
895360	mov dword ptr [ebx + 60h], edx
8b8554ffffff	mov eax, dword ptr [ebp - 0ACh]
c70300000000	mov dword ptr [ebx], 0
d85d9c	fcomp dword ptr [ebp - 64h]
c7434401000000	mov dword ptr [ebx + 44h], 1
894b48	mov dword ptr [ebx + 48h], ecx
c7434400000000	mov dword ptr [ebx + 44h], 0
897b48	mov dword ptr [ebx + 48h], edi
c7451401000000	mov dword ptr [ebp + 14h], 1
c7451400000000	mov dword ptr [ebp + 14h], 0
8b4d8c	mov ecx, dword ptr [ebp - 74h]
8b9548ffffff	mov edx, dword ptr [ebp - 0B8h]
81ec84020000	sub esp, 284h
807d1400	cmp byte ptr [ebp + 14h], 0
888d48ffffff	mov byte ptr [ebp - 0B8h], cl
888540ffffff	mov byte ptr [ebp - 0C0h], al
8b9540ffffff	mov edx, dword ptr [ebp - 0C0h]
899570ffffff	mov dword ptr [ebp - 90h], edx
d8591c	fcomp dword ptr [ecx + 1Ch]
83fa05	cmp edx, 5
8d4118	lea eax, [ecx + 18h]
d818	fcomp dword ptr [eax]
d8581c	fcomp dword ptr [eax + 1Ch]
d88570ffffff	fadd dword ptr [ebp - 90h]
d84a20	fmul dword ptr [edx + 20h]
d84a1c	fmul dword ptr [edx + 1Ch]
3b7dd4	cmp edi, dword ptr [ebp - 2Ch]
89853cffffff	mov dword ptr [ebp - 0C4h], eax
8d943d1cfeffff	lea edx, [ebp + edi - 1E4h]
8d843d9cfeffff	lea eax, [ebp + edi - 164h]
8d4c8170	lea ecx, [ecx + eax*4 + 70h]
8d957cfdffff	lea edx, [ebp - 284h]
8d859cfeffff	lea eax, [ebp - 164h]
8d8d1cfeffff	lea ecx, [ebp - 1E4h]
8d8d44feffff	lea ecx, [ebp - 1BCh]
898d60ffffff	mov dword ptr [ebp - 0A0h], ecx
d9448870	fld dword ptr [eax + ecx*4 + 70h]
8d448870	lea eax, [eax + ecx*4 + 70h]
d865b0	fsub dword ptr [ebp - 50h]
c6452301	mov byte ptr [ebp + 23h], 1
c6452300	mov byte ptr [ebp + 23h], 0
d9448170	fld dword ptr [ecx + eax*4 + 70h]
8d448170	lea eax, [ecx + eax*4 + 70h]
8b853cffffff	mov eax, dword ptr [ebp - 0C4h]
d8a57cffffff	fsub dword ptr [ebp - 84h]
8a4523	mov al, byte ptr [ebp + 23h]
d99cbddcfeffff	fstp dword ptr [ebp + edi*4 - 124h]
8948f8	mov dword ptr [eax - 8], ecx
8984bdbcfeffff	mov dword ptr [ebp + edi*4 - 144h], eax
898cbdfcfeffff	mov dword ptr [ebp + edi*4 - 104h], ecx
898cbd1cffffff	mov dword ptr [ebp + edi*4 - 0E4h], ecx
8984bd1cffffff	mov dword ptr [ebp + edi*4 - 0E4h], eax
8b8d3cfeffff	mov ecx, dword ptr [ebp - 1C4h]
8b9540feffff	mov edx, dword ptr [ebp - 1C0h]
8b8544feffff	mov eax, dword ptr [ebp - 1BCh]
8d8de0feffff	lea ecx, [ebp - 120h]
8d8550feffff	lea eax, [ebp - 1B0h]
8d8d40feffff	lea ecx, [ebp - 1C0h]
8bbc95dcfeffff	mov edi, dword ptr [ebp + edx*4 - 124h]
8bbc95fcfeffff	mov edi, dword ptr [ebp + edx*4 - 104h]
8bbc951cffffff	mov edi, dword ptr [ebp + edx*4 - 0E4h]
8bbc95bcfeffff	mov edi, dword ptr [ebp + edx*4 - 144h]
8b7d2c	mov edi, dword ptr [ebp + 2Ch]
c745a40000803f	mov dword ptr [ebp - 5Ch], 3F800000h
d955e4	fst dword ptr [ebp - 1Ch]
895320	mov dword ptr [ebx + 20h], edx
895314	mov dword ptr [ebx + 14h], edx
8b8544ffffff	mov eax, dword ptr [ebp - 0BCh]
d85da0	fcomp dword ptr [ebp - 60h]
898b80000000	mov dword ptr [ebx + 80h], ecx
8b7dd4	mov edi, dword ptr [ebp - 2Ch]
c7450c01000000	mov dword ptr [ebp + 0Ch], 1
8b4d88	mov ecx, dword ptr [ebp - 78h]
8b558c	mov edx, dword ptr [ebp - 74h]
8b954cffffff	mov edx, dword ptr [ebp - 0B4h]
c745f800000040	mov dword ptr [ebp - 8], 40000000h
d8620c	fsub dword ptr [edx + 0Ch]
d85a10	fcomp dword ptr [edx + 10h]
d875e8	fdiv dword ptr [ebp - 18h]
d85a14	fcomp dword ptr [edx + 14h]
bb02000000	mov ebx, 2
d85914	fcomp dword ptr [ecx + 14h]
d875ec	fdiv dword ptr [ebp - 14h]
d85a18	fcomp dword ptr [edx + 18h]
bb05000000	mov ebx, 5
d8648170	fsub dword ptr [ecx + eax*4 + 70h]
d8648174	fsub dword ptr [ecx + eax*4 + 74h]
895e0c	mov dword ptr [esi + 0Ch], ebx
d8420c	fadd dword ptr [edx + 0Ch]
884620	mov byte ptr [esi + 20h], al
8b595c	mov ebx, dword ptr [ecx + 5Ch]
c1e705	shl edi, 5
2b4508	sub eax, dword ptr [ebp + 8]
d864b970	fsub dword ptr [ecx + edi*4 + 70h]
d864b974	fsub dword ptr [ecx + edi*4 + 74h]
8d7cb970	lea edi, [ecx + edi*4 + 70h]
8d3c5b	lea edi, [ebx + ebx*2]
8d5f24	lea ebx, [edi + 24h]
894758	mov dword ptr [edi + 58h], eax
c745f400000040	mov dword ptr [ebp - 0Ch], 40000000h
be03000000	mov esi, 3
be05000000	mov esi, 5
c6402001	mov byte ptr [eax + 20h], 1
895018	mov dword ptr [eax + 18h], edx
c7450c000080bf	mov dword ptr [ebp + 0Ch], 0BF800000h
d86910	fsubr dword ptr [ecx + 10h]
d86914	fsubr dword ptr [ecx + 14h]
8d1476	lea edx, [esi + esi*2]
d86918	fsubr dword ptr [ecx + 18h]
d95134	fst dword ptr [ecx + 34h]
d95950	fstp dword ptr [ecx + 50h]
d8494c	fmul dword ptr [ecx + 4Ch]
d95150	fst dword ptr [ecx + 50h]
c7415000000000	mov dword ptr [ecx + 50h], 0
d94628	fld dword ptr [esi + 28h]
8d7704	lea esi, [edi + 4]
8a4324	mov al, byte ptr [ebx + 24h]
d86330	fsub dword ptr [ebx + 30h]
d85d10	fcomp dword ptr [ebp + 10h]
d86710	fsub dword ptr [edi + 10h]
d86714	fsub dword ptr [edi + 14h]
8d7010	lea esi, [eax + 10h]
8db19c000000	lea esi, [ecx + 9Ch]
d84328	fadd dword ptr [ebx + 28h]
d84330	fadd dword ptr [ebx + 30h]
d86df4	fsubr dword ptr [ebp - 0Ch]
d95604	fst dword ptr [esi + 4]
d86b4c	fsubr dword ptr [ebx + 4Ch]
d85204	fcom dword ptr [edx + 4]
c7070000803f	mov dword ptr [edi], 3F800000h
c70102000000	mov dword ptr [ecx], 2
c70202000000	mov dword ptr [edx], 2
8d451c	lea eax, [ebp + 1Ch]
c7030000803f	mov dword ptr [ebx], 3F800000h
c70201000000	mov dword ptr [edx], 1
8d4d1c	lea ecx, [ebp + 1Ch]
d84930	fmul dword ptr [ecx + 30h]
d86e28	fsubr dword ptr [esi + 28h]
d86e2c	fsubr dword ptr [esi + 2Ch]
81eca0030000	sub esp, 3A0h
d8a558ffffff	fsub dword ptr [ebp - 0A8h]
668945c0	mov word ptr [ebp - 40h], ax
d88c0548ffffff	fmul dword ptr [ebp + eax - 0B8h]
d99c0558ffffff	fstp dword ptr [ebp + eax - 0A8h]
d88c0540ffffff	fmul dword ptr [ebp + eax - 0C0h]
d99c055cffffff	fstp dword ptr [ebp + eax - 0A4h]
d88c0544ffffff	fmul dword ptr [ebp + eax - 0BCh]
d99c0560ffffff	fstp dword ptr [ebp + eax - 0A0h]
d8840558ffffff	fadd dword ptr [ebp + eax - 0A8h]
d884055cffffff	fadd dword ptr [ebp + eax - 0A4h]
d8840560ffffff	fadd dword ptr [ebp + eax - 0A0h]
d95584	fst dword ptr [ebp - 7Ch]
8dbd60fcffff	lea edi, [ebp - 3A0h]
c7452404000000	mov dword ptr [ebp + 24h], 4
8b4050	mov eax, dword ptr [eax + 50h]
884d27	mov byte ptr [ebp + 27h], cl
83c250	add edx, 50h
c745b42c000000	mov dword ptr [ebp - 4Ch], 2Ch
8a4527	mov al, byte ptr [ebp + 27h]
66394106	cmp word ptr [ecx + 6], ax
8dbddcfeffff	lea edi, [ebp - 124h]
894ff8	mov dword ptr [edi - 8], ecx
8b48b0	mov ecx, dword ptr [eax - 50h]
8b50b4	mov edx, dword ptr [eax - 4Ch]
8b40b8	mov eax, dword ptr [eax - 48h]
8b8c0564ffffff	mov ecx, dword ptr [ebp + eax - 9Ch]
8b940568ffffff	mov edx, dword ptr [ebp + eax - 98h]
8dbc0564ffffff	lea edi, [ebp + eax - 9Ch]
8b84056cffffff	mov eax, dword ptr [ebp + eax - 94h]
8d840d4cffffff	lea eax, [ebp + ecx - 0B4h]
d88c0d48ffffff	fmul dword ptr [ebp + ecx - 0B8h]
668b4451f8	mov ax, word ptr [ecx + edx*2 - 8]
d88c0d50ffffff	fmul dword ptr [ebp + ecx - 0B0h]
c78514ffffff00000000	mov dword ptr [ebp - 0ECh], 0
8d8560fcffff	lea eax, [ebp - 3A0h]
898d28ffffff	mov dword ptr [ebp - 0D8h], ecx
89952cffffff	mov dword ptr [ebp - 0D4h], edx
8b9530ffffff	mov edx, dword ptr [ebp - 0D0h]
8d48b0	lea ecx, [eax - 50h]
c745bc02000000	mov dword ptr [ebp - 44h], 2
d86da8	fsubr dword ptr [ebp - 58h]
d88c056cffffff	fmul dword ptr [ebp + eax - 94h]
d88c0568ffffff	fmul dword ptr [ebp + eax - 98h]
d84324	fadd dword ptr [ebx + 24h]
c6443dc001	mov byte ptr [ebp + edi - 40h], 1
c6452701	mov byte ptr [ebp + 27h], 1
8b7db4	mov edi, dword ptr [ebp - 4Ch]
897db4	mov dword ptr [ebp - 4Ch], edi
